timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717705211076,1,GetNewProducts,200,OK,Thread Group 1-829,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211076,1,GetNewProducts,200,OK,Thread Group 1-831,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211078,2,GetNewProducts,200,OK,Thread Group 1-830,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211080,1,GetNewProducts,200,OK,Thread Group 1-832,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211081,2,GetNewProducts,200,OK,Thread Group 1-834,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211081,2,GetNewProducts,200,OK,Thread Group 1-833,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211081,2,GetNewProducts,200,OK,Thread Group 1-836,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211082,2,GetNewProducts,200,OK,Thread Group 1-835,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211084,2,GetNewProducts,200,OK,Thread Group 1-837,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211085,2,GetNewProducts,200,OK,Thread Group 1-839,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211085,2,GetNewProducts,200,OK,Thread Group 1-838,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211086,2,GetNewProducts,200,OK,Thread Group 1-840,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211087,1,GetNewProducts,200,OK,Thread Group 1-841,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211088,1,GetNewProducts,200,OK,Thread Group 1-842,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211089,1,GetNewProducts,200,OK,Thread Group 1-843,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211090,1,GetNewProducts,200,OK,Thread Group 1-844,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211091,1,GetNewProducts,200,OK,Thread Group 1-845,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211160,1,GetNewProducts,200,OK,Thread Group 1-915,text,true,,1864,150,71,71,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211160,1,GetNewProducts,200,OK,Thread Group 1-914,text,true,,1864,150,71,71,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211159,1,GetNewProducts,200,OK,Thread Group 1-913,text,true,,1864,150,70,70,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211158,1,GetNewProducts,200,OK,Thread Group 1-912,text,true,,1864,150,68,68,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211157,1,GetNewProducts,200,OK,Thread Group 1-911,text,true,,1864,150,67,67,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211156,1,GetNewProducts,200,OK,Thread Group 1-910,text,true,,1864,150,66,66,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211153,1,GetNewProducts,200,OK,Thread Group 1-907,text,true,,1864,150,63,63,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211152,2,GetNewProducts,200,OK,Thread Group 1-908,text,true,,1864,150,63,63,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211155,1,GetNewProducts,200,OK,Thread Group 1-909,text,true,,1864,150,65,65,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211152,1,GetNewProducts,200,OK,Thread Group 1-906,text,true,,1864,150,63,63,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211151,1,GetNewProducts,200,OK,Thread Group 1-905,text,true,,1864,150,62,62,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211150,1,GetNewProducts,200,OK,Thread Group 1-904,text,true,,1864,150,60,60,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211149,2,GetNewProducts,200,OK,Thread Group 1-902,text,true,,1864,150,60,60,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211149,1,GetNewProducts,200,OK,Thread Group 1-903,text,true,,1864,150,59,59,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211147,1,GetNewProducts,200,OK,Thread Group 1-901,text,true,,1864,150,56,56,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211146,1,GetNewProducts,200,OK,Thread Group 1-900,text,true,,1864,150,56,56,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211146,1,GetNewProducts,200,OK,Thread Group 1-899,text,true,,1864,150,55,55,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211144,1,GetNewProducts,200,OK,Thread Group 1-898,text,true,,1864,150,53,53,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211143,1,GetNewProducts,200,OK,Thread Group 1-897,text,true,,1864,150,53,53,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211142,1,GetNewProducts,200,OK,Thread Group 1-896,text,true,,1864,150,52,52,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211141,1,GetNewProducts,200,OK,Thread Group 1-895,text,true,,1864,150,51,51,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211141,1,GetNewProducts,200,OK,Thread Group 1-894,text,true,,1864,150,51,51,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211140,1,GetNewProducts,200,OK,Thread Group 1-893,text,true,,1864,150,50,50,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211139,1,GetNewProducts,200,OK,Thread Group 1-892,text,true,,1864,150,48,48,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211137,1,GetNewProducts,200,OK,Thread Group 1-890,text,true,,1864,150,46,46,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211136,1,GetNewProducts,200,OK,Thread Group 1-891,text,true,,1864,150,46,46,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211135,1,GetNewProducts,200,OK,Thread Group 1-889,text,true,,1864,150,45,45,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
